"基本数量ＩＤ","数量タイプ","単位","総数量","１Ｆ","２Ｆ","３Ｆ","Ｂ１Ｆ","Ｂ２Ｆ"
"基礎内面積","実数","㎡","58.32","58.32","0","0","",""
"基礎外周長（１）","実数","ｍ","32.4","32.4","0","0","",""
"基礎外周長（２）","実数","ｍ","32.4","32.4","0","0","",""
"基礎立上り面積","実数","㎡","12.96","12.96","0","0","",""
"基礎長さ","実数","ｍ","32.4","32.4","0","0","",""
"袖壁基礎長さ","実数","ｍ","0","0","0","0","",""
"間仕切基礎長さ（１）","実数","ｍ","0","0","0","0","",""
"間仕切基礎長さ（２）","実数","ｍ","0","0","0","0","",""
"土間コン面積","実数","㎡","0","0","0","0","",""
"基礎内土間コン面積","実数","㎡","0","0","0","0","",""
"基礎外土間コン面積","実数","㎡","0","0","0","0","",""
"基礎内防湿部面積","実数","㎡","58.32","58.32","0","0","",""
"束石ヶ所数","実数","ヶ所","0","0","0","0","",""
"外壁出隅ヶ所数","実数","ヶ所","10","4","6","0","",""
"外壁出隅部分長さ","実数","ｍ","21.8369","11.268","10.5689","0","",""
"部分変更部位出隅部分長さ　外壁（２方向）","実数","ｍ","0","0","0","0","",""
"部分変更部位出隅部分長さ　外壁（片方向）","実数","ｍ","0","0","0","0","",""
"外壁内面積","実数","㎡","111.78","58.32","53.46","0","",""
"外壁外周長","実数","ｍ","63","32.4","30.6","0","",""
"外壁内周長","実数","ｍ","63","32.4","30.6","0","",""
"外壁面積（１）","実数","㎡","189","97.2","91.8","0","",""
"外壁面積（２）","実数","㎡","163.9135","85.6831","78.2304","0","",""
"外壁盲壁面積","実数","㎡","186.4394","99.0198","87.4196","0","",""
"外壁内壁面積","実数","㎡","189","97.2","91.8","0","",""
"袖壁延長長さ","実数","ｍ","0","0","0","0","",""
"袖壁面積","実数","㎡","0","0","0","0","",""
"出窓面積","実数","㎡","0","0","0","0","",""
"アルコーブ面積","実数","㎡","1.62","1.62","0","0","",""
"外壁出隅数","実数","ヶ所","8","4","4","0","",""
"外壁入隅数","実数","ヶ所","0","0","0","0","",""
"外壁出隅以外の壁交点数","実数","ヶ所","41","21","20","0","",""
"矢切り壁面積","実数","㎡","16.4738","0.3653","16.1085","0","",""
"袖壁数","実数","ヶ所","0","0","0","0","",""
"特殊壁面積","実数","㎡","0","0","0","0","",""
"外壁・屋根重なり面積","実数","㎡","3.6038","0","3.6038","0","",""
"開口部長さ","実数","ｍ","20.31","11.772","8.538","0","",""
"開口部周長","実数","ｍ","80.734","38.104","42.63","0","",""
"開口部面積","実数","㎡","22.0473","12.858","9.1893","0","",""
"出窓・間口","実数","ｍ","0","0","0","0","",""
"出窓・奥行","実数","ｍ","0","0","0","0","",""
"外壁面積","実数","㎡","176.7835","86.0484","90.7351","0","",""
"外周長さ","実数","ｍ","63.6","33","30.6","0","",""
"外周内面積","実数","㎡","113.4","59.94","53.46","0","",""
"アルコーブ垂れ壁長さ","実数","ｍ","6","6","0","0","",""
"アルコーブ軒天見切長さ","実数","ｍ","5.4","5.4","0","0","",""
"出窓ヶ所数","実数","ヶ所","0","0","0","0","",""
"屋根面積","実数","㎡","76.1694","11.7603","64.4091","0","",""
"葺降ろし面積","実数","㎡","0","0","0","0","",""
"軒カット面積","実数","㎡","0","0","0","0","",""
"総棟長さ","実数","ｍ","0","0","0","0","",""
"棟長さ","実数","ｍ","0","0","0","0","",""
"稜長さ","実数","ｍ","0","0","0","0","",""
"谷長さ","実数","ｍ","0","0","0","0","",""
"軒先長さ","実数","ｍ","17.508","5.836","11.672","0","",""
"ケラバ長さ","実数","ｍ","26.102","4.03","22.072","0","",""
"腰折れ長さ","実数","ｍ","0","0","0","0","",""
"軒裏面積","実数","㎡","8.9539","4.3193","4.6346","0","",""
"小屋裏面積","実数","㎡","67.2156","7.441","59.7746","0","",""
"屋根出隅数","実数","ヶ所","8","2","6","0","",""
"屋根入隅数","実数","ヶ所","0","0","0","0","",""
"袖壁ヶ所数","実数","ヶ所","0","0","0","0","",""
"バルコニー袖壁ヶ所数","実数","ヶ所","0","0","0","0","",""
"水平水切延べ長さ","実数","ｍ","11.672","5.836","5.836","0","",""
"斜め水切延べ長さ","実数","ｍ","0","0","0","0","",""
"半切妻 妻側軒長さ","実数","ｍ","0","0","0","0","",""
"片流れ 半棟長さ","実数","ｍ","5.836","0","5.836","0","",""
"ベランダ床面積","実数","㎡","0","0","0","0","",""
"袖壁出隅ヶ所数","実数","ヶ所","0","0","0","0","",""
"バルコニー袖壁出隅ヶ所数","実数","ヶ所","0","0","0","0","",""
"袖壁出隅部分長さ","実数","ｍ","0","0","0","0","",""
"バルコニー袖壁出隅部分長さ","実数","ｍ","0","0","0","0","",""
"出窓下端長さ","実数","ｍ","0","0","0","0","",""
"部分変更部位出隅部分長さ 袖壁（２方向）","実数","ｍ","0","0","0","0","",""
"部分変更部位出隅部分長さ 袖壁（片方向）","実数","ｍ","0","0","0","0","",""
"部分変更部位出隅部分長さ バルコニー袖壁（２方向）","実数","ｍ","0","0","0","0","",""
"部分変更部位出隅部分長さ バルコニー袖壁（片方向）","実数","ｍ","0","0","0","0","",""
"吹抜床面積","実数","㎡","2.1135","0","2.1135","0","",""
"階段床面積","実数","㎡","2.8484","0","2.8484","0","",""
"和室床面積","実数","㎡","5.0376","5.0376","0","0","",""
"タタミ面積","実数","㎡","4.4636","4.4636","0","0","",""
"浴室床面積","実数","㎡","3.3379","3.3379","0","0","",""
"腰壁延長さ","実数","ｍ","6.459","3.806","2.653","0","",""
"垂れ壁延長さ","実数","ｍ","0","0","0","0","",""
"壁ふかし長さ","実数","ｍ","39.973","26.031","13.942","0","",""
"ベランダ軒裏面積","実数","㎡","0","0","0","0","",""
"和室ヶ所数","実数","ヶ所","1","1","0","0","",""
"収納・床面積","実数","㎡","2.8396","0","2.8396","0","",""
"部屋入隅ヶ所数","実数","ヶ所","86","56","30","0","",""
"収納入隅ヶ所数","実数","ヶ所","8","0","8","0","",""
"小屋裏部屋面積","実数","㎡","0","0","0","0","",""
"バルコニー下見切り長さ","実数","ｍ","0","0","0","0","",""
"耐力壁線長","実数","Ｍ","0","0","0","0","",""
"木壁長","実数","Ｍ","138.866","75.263","63.603","0","",""
"屋根形状","整数","","0","0","0","0","",""
"屋根勾配","実数","㎜","6.5","4","2.5","0","",""
"軒高","実数","ｍ","8.074","3.45","2.8","1.824","",""
"軒の出","実数","㎜","1200","600","600","0","",""
"ケラバの出","実数","㎜","1200","600","600","0","",""
"階高","実数","ｍ","6.982","3","2.485","1.497","",""
"階区分","実数","","4","2","1","1","",""
"敷地面積","実数","㎡","0","0","0","0","",""
"建築面積","実数","㎡","61.11","61.11","0","0","",""
"延床面積","実数","㎡","112.42","112.42","0","0","",""
"建蔽率","実数","％","0","0","0","0","",""
"容積率","実数","％","0","0","0","0","",""
"施工面積","実数","㎡","0","0","0","0","",""
"吹抜面積","実数","㎡","1.88","1.88","0","0","",""
"屋外等面積","実数","㎡","0","0","0","0","",""
"地階床面積","実数","㎡","0","0","0","0","",""
"地下２階床面積","実数","㎡","0","0","0","0","",""
"１階床面積","実数","㎡","59.62","59.62","0","0","",""
"２階床面積","実数","㎡","52.8","0","52.8","0","",""
"３階床面積","実数","㎡","0","0","0","0","",""
"４階床面積","実数","㎡","0","0","0","0","",""
"５階床面積","実数","㎡","0","0","0","0","",""
"６階床面積","実数","Ｍ２","0","","","","",""
"７階床面積","実数","Ｍ２","0","","","","",""
"１．５階床面積","実数","Ｍ２","0","","","","",""
"袖壁入隅箇所数","実数","ケ所","0","","","","",""
"袖壁出隅箇所数","実数","ケ所","0","","","","",""
"パラペット出隅箇所数","実数","ケ所","0","","","","",""
"パラペット入隅箇所数","実数","ケ所","0","","","","",""
"部屋領域長さ","実数","ｍ","155.915","80.774","75.141","0","",""
"収納領域長さ","実数","ｍ","10.428","0","10.428","0","",""
"収納開口長さ","実数","ｍ","3.664","0","3.664","0","",""
"間仕切壁長さ","実数","ｍ","2.4375","2.4375","0","0","",""
"軒ヶ所数","実数","ヶ所","3","1","2","0","",""
"棟ヶ所数","実数","ヶ所","0","0","0","0","",""
"稜ヶ所数","実数","ヶ所","0","0","0","0","",""
"谷ヶ所数","実数","ヶ所","0","0","0","0","",""
"ケラバヶ所数","実数","ヶ所","6","2","4","0","",""
"軒天見切長さ","実数","ｍ","47.54","8.714","38.826","0","",""
"壁線重なり長さ","実数","ｍ","25.199","25.199","0","0","",""
"その他和室床面積","実数","㎡","0","0","0","0","",""
"軒天見切長さ 水平","実数","ｍ","23.942","6.13","17.812","0","",""
"軒天見切長さ 斜め","実数","ｍ","23.598","2.584","21.014","0","",""
"外壁入隅ヶ所数","実数","ヶ所","0","0","0","0","",""
"外壁入隅部分長さ","実数","ｍ","0","0","0","0","",""
"部分変更部位入隅部分長さ 外壁（２方向）","実数","ｍ","0","0","0","0","",""
"部分変更部位入隅部分長さ 外壁（片方向）","実数","ｍ","0","0","0","0","",""
"袖壁入隅ヶ所数","実数","ヶ所","0","0","0","0","",""
"袖壁入隅部分の長さ","実数","ｍ","0","0","0","0","",""
"部分変更部位入隅部分長さ 袖壁（２方向）","実数","ｍ","0","0","0","0","",""
"部分変更部位入隅部分長さ 袖壁（片方向）","実数","ｍ","0","0","0","0","",""
"バルコニー袖壁入隅ヶ所数","実数","ヶ所","0","0","0","0","",""
"バルコニー袖壁入隅部分長さ","実数","ｍ","0","0","0","0","",""
"部分変更部位入隅部分長さ バルコニー袖壁（２方向）","実数","ｍ","0","0","0","0","",""
"部分変更部位入隅部分長さ バルコニー袖壁（片方向）","実数","ｍ","0","0","0","0","",""
"部屋領域長さ（２）","実数","ｍ","155.915","80.774","75.141","0","",""
"収納領域長さ（２）","実数","ｍ","10.428","0","10.428","0","",""
"真壁和室数","実数","ヶ所","0","0","0","0","",""
"大壁和室数","実数","ヶ所","0","0","0","0","",""
"洋室数","実数","ヶ所","0","0","0","0","",""
"真壁部屋周長","実数","ｍ","0","0","0","0","",""
"真壁部屋面積","実数","㎡","0","0","0","0","",""
"真壁部屋床面積","実数","㎡","0","0","0","0","",""
"真壁部屋壁面積","実数","㎡","0","0","0","0","",""
"真壁部屋天井面積","実数","㎡","0","0","0","0","",""
"大壁部屋周長","実数","ｍ","0","0","0","0","",""
"大壁部屋面積","実数","㎡","0","0","0","0","",""
"大壁部屋床面積","実数","㎡","0","0","0","0","",""
"大壁部屋壁面積","実数","㎡","0","0","0","0","",""
"大壁部屋天井面積","実数","㎡","0","0","0","0","",""
"洋室部屋周長","実数","ｍ","38.508","0","38.508","0","",""
"洋室部屋面積","実数","㎡","26.5384","0","26.5384","0","",""
"洋室部屋床面積","実数","㎡","0","0","0","0","",""
"洋室部屋壁面積","実数","㎡","0","0","0","0","",""
"洋室部屋天井面積","実数","㎡","0","0","0","0","",""
"収納部屋周長","実数","ｍ","0","0","0","0","",""
"収納部屋面積","実数","㎡","0","0","0","0","",""
"収納部屋床面積","実数","㎡","0","0","0","0","",""
"収納部屋壁面積","実数","㎡","0","0","0","0","",""
"収納部屋天井面積","実数","㎡","0","0","0","0","",""
"押入部屋周長","実数","ｍ","0","0","0","0","",""
"押入部屋面積","実数","㎡","0","0","0","0","",""
"押入部屋床面積","実数","㎡","0","0","0","0","",""
"押入部屋壁面積","実数","㎡","0","0","0","0","",""
"押入部屋天井面積","実数","㎡","0","0","0","0","",""
"収納外壁接触長さ","実数","Ｍ","0","","","","",""
"玄関外壁接触長さ","実数","Ｍ","0","","","","",""
"ホール外壁接触長さ","実数","Ｍ","0","","","","",""
"廊下外壁接触長さ","実数","Ｍ","0","","","","",""
"階段室外壁接触長さ","実数","Ｍ","0","","","","",""
"吹抜け室外壁接触長さ","実数","Ｍ","0","","","","",""
"エレベータ室外壁接触長さ","実数","Ｍ","0","","","","",""
"勝手口外壁接触長さ","実数","Ｍ","0","","","","",""
"厨房外壁接触長さ","実数","Ｍ","0","","","","",""
"食堂外壁接触長さ","実数","Ｍ","0","","","","",""
"洗面所外壁接触長さ","実数","Ｍ","0","","","","",""
"浴室外壁接触長さ","実数","Ｍ","0","","","","",""
"便所外壁接触長さ","実数","Ｍ","0","","","","",""
"家事室外壁接触長さ","実数","Ｍ","0","","","","",""
"洋室外壁接触長さ","実数","Ｍ","0","","","","",""
"和室外壁接触長さ","実数","Ｍ","0","","","","",""
"広縁外壁接触長さ","実数","Ｍ","0","","","","",""
"床の間外壁接触長さ","実数","Ｍ","0","","","","",""
"仏間外壁接触長さ","実数","Ｍ","0","","","","",""
"納戸（和風）外壁接触長さ","実数","Ｍ","0","","","","",""
"納戸（洋風）外壁接触長さ","実数","Ｍ","0","","","","",""
"グルニエ外壁接触長さ","実数","Ｍ","0","","","","",""
"下屋小屋部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"事務所外壁接触長さ","実数","Ｍ","0","","","","",""
"店舗外壁接触長さ","実数","Ｍ","0","","","","",""
"倉庫外壁接触長さ","実数","Ｍ","0","","","","",""
"車庫外壁接触長さ","実数","Ｍ","0","","","","",""
"出窓部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"小屋裏簡易入力外壁接触長さ","実数","Ｍ","0","","","","",""
"階段下収納外壁接触長さ","実数","Ｍ","0","","","","",""
"外壁接触長さ","実数","Ｍ","0","","","","",""
"屋根面積（フラット）","実数","㎡","0","0","0","0","",""
"屋根面積（０寸≦勾配＜４寸）","実数","㎡","64.4091","0","64.4091","0","",""
"屋根面積（４寸≦勾配＜５寸）","実数","㎡","11.7603","11.7603","0","0","",""
"屋根面積（５寸≦勾配＜６寸）","実数","㎡","0","0","0","0","",""
"屋根面積（６寸≦勾配＜７寸）","実数","㎡","0","0","0","0","",""
"屋根面積（７寸≦勾配＜８寸）","実数","㎡","0","0","0","0","",""
"屋根面積（８寸≦勾配＜９寸）","実数","㎡","0","0","0","0","",""
"屋根面積（９寸≦勾配＜１０寸）","実数","㎡","0","0","0","0","",""
"屋根面積（１０寸≦勾配）","実数","㎡","0","0","0","0","",""
"屋根急勾配割増（勾配≦２．５寸）","実数","㎡","64.4091","0","64.4091","0","",""
"屋根急勾配割増（２．５寸＜勾配≦３．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（３．５寸＜勾配≦４．５寸）","実数","㎡","11.7603","11.7603","0","0","",""
"屋根急勾配割増（４．５寸＜勾配≦５．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（５．５寸＜勾配≦６．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（６．５寸＜勾配≦７．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（７．５寸＜勾配≦８．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（８．５寸＜勾配≦９．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（９．５寸＜勾配≦１０．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（１０．５寸＜勾配≦１１．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（１１．５寸＜勾配≦１２．５寸）","実数","Ｍ２","0","0","0","0","",""
"屋根急勾配割増（１２．５寸＜勾配）","実数","Ｍ２","0","0","0","0","",""
"２．５寸勾配屋根ユニット面積","実数","㎡","54.2538","0.7938","53.46","0","",""
"４寸勾配屋根ユニット面積","実数","㎡","4.86","4.86","0","0","",""
"５寸勾配屋根ユニット面積","実数","Ｍ２","0","","","","",""
"６寸勾配屋根ユニット面積","実数","Ｍ２","0","","","","",""
"１２．５寸勾配屋根ユニット面積","実数","Ｍ２","0","","","","",""
"フラット屋根ユニット面積","実数","Ｍ２","0","","","","",""
"２．５寸勾配葺降しユニット面積","実数","Ｍ２","0","","","","",""
"４寸勾配葺降しユニット面積","実数","Ｍ２","0","","","","",""
"５寸勾配葺降しユニット面積","実数","Ｍ２","0","","","","",""
"６寸勾配葺降しユニット面積","実数","Ｍ２","0","","","","",""
"１２．５寸勾配葺降しユニット面積","実数","Ｍ２","0","","","","",""
"梁々接合箇所１","実数","箇所","1","1","0","0","",""
"梁々接合箇所２","実数","ケ所","0","","","","",""
"セットバック架構境界長さ","実数","ｍ","5.4","0","5.4","0","",""
"ユニット外外壁長さ","実数","Ｍ","0","","","","",""
"面戸長さ","実数","ｍ","22.26","2.42","19.84","0","",""
"面戸面積","実数","㎡","14.0114","0.5856","13.4258","0","",""
"軒上げ部壁面積","実数","㎡","0.0312","0","0.0312","0","",""
"段違屋根部壁面積","実数","㎡","3.3233","0","3.3233","0","",""
"ケラバ面戸箇所数","実数","ケ所","0","","","","",""
"ユニット外周長さ","実数","ｍ","63","32.4","30.6","0","",""
"ユニット中通長さ","実数","ｍ","25.2","14.4","10.8","0","",""
"両面外壁端部箇所数","実数","ケ所","0","","","","",""
"大屋根間仕切り長さ","実数","Ｍ","0","","","","",""
"厚み２．５ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み５ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み９．５ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み１２．５ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み１５ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み３０ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み３３ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み３７．５ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み５０ふかし壁内部建具箇所数","実数","箇所","6","4","2","0","",""
"厚み５３ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み６４ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"厚み７５ふかし壁内部建具箇所数","実数","ケ所","0","","","","",""
"定義無ふかし壁内部建具箇所数","実数","箇所","2","1","1","0","",""
"厚み２．５間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み５間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み９．５間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み１２．５間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み１５間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み３０間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み３３間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み３７．５間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み５０間仕切ふかし壁長さ","実数","ｍ","7.116","4.987","2.129","0","",""
"厚み５３間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み６４間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"厚み７５間仕切ふかし壁長さ","実数","Ｍ","0","","","","",""
"定義無間仕切ふかし壁長さ","実数","ｍ","5.65","2.843","2.807","0","",""
"厚み２．５ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み５ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み９．５ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み１２．５ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み１５ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み３０ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み３３ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み３７．５ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み５０ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み５３ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み６４ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"厚み７５ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"定義無ふかし壁９００ｍｍ外部建具箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ外壁上耐力壁箇所数","実数","箇所","4","0","4","0","",""
"５２５ｍｍ外壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ外壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ外壁上耐力壁箇所数","実数","箇所","4","0","4","0","",""
"９７５ｍｍ外壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ外壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ外壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ外壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ外壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ外壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ外壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ外壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ外壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ外壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ外壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ外壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ外壁上制震耐力壁箇所数","実数","箇所","1","1","0","0","",""
"５２５ｍｍ外壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ外壁上制震耐力壁箇所数","実数","箇所","1","1","0","0","",""
"９００ｍｍ外壁上制震耐力壁箇所数","実数","箇所","5","5","0","0","",""
"９７５ｍｍ外壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ外壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ外壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ外壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ間仕切上耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ間仕切上耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ間仕切上耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ間仕切上耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ間仕切上耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ間仕切上耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ間仕切上耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ間仕切上耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ間仕切上高耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ間仕切上高耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ間仕切上高耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ間仕切上高耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ間仕切上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ間仕切上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ間仕切上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ間仕切上高耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ間仕切上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ間仕切上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ間仕切上制震耐力壁箇所数","実数","箇所","1","1","0","0","",""
"９００ｍｍ間仕切上制震耐力壁箇所数","実数","箇所","1","1","0","0","",""
"９７５ｍｍ間仕切上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ間仕切上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ間仕切上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ間仕切上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ界壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ界壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ界壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ界壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ界壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ界壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ界壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ界壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ界壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ界壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ界壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ界壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ界壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ界壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ界壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ界壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ界壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ界壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ界壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ界壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ界壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ界壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ界壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ界壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ袖壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ袖壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ袖壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ袖壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ袖壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ袖壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ袖壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ袖壁上耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ袖壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ袖壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ袖壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ袖壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ袖壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ袖壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１１２５ｍｍ袖壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ袖壁上高耐力壁箇所数","実数","ケ所","0","","","","",""
"４５０ｍｍ袖壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"５２５ｍｍ袖壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"６００ｍｍ袖壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"９００ｍｍ袖壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"９７５ｍｍ袖壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１０５０ｍｍ袖壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
